external_id	source_type	trait	source_url	population	category	sample_size	notes
PASS.Anorexia_Nervosa.Watson2019	zenodo_indep107	Anorexia nervosa	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Atrial_Fibrillation.Nielsen2018	zenodo_indep107	Atrial fibrillation	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Attention_Deficit_Hyperactivity_Disorder_ADHD.Demontis2023	zenodo_indep107	ADHD	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Autism.PGC2013	zenodo_indep107	Autism spectrum disorder	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.BMI.Yengo2018	zenodo_indep107	BMI	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Basophil_Percentage.Vuckovic2020	zenodo_indep107	Basophil percentage	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Bipolar_Disorder_ALL.Mullins2021	zenodo_indep107	Bipolar disorder all cases	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.CHIP.Kessler2022	zenodo_indep107	CHIP	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Cancer_Esophageal.Gharahkhani2016	zenodo_indep107	Esophageal cancer	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Cancer_Lung.McKay2017	zenodo_indep107	Lung cancer	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Cancer_Prostate.Schumacher2018	zenodo_indep107	Prostate cancer	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Cannabis_Use_Disorder.Johnson2020	zenodo_indep107	Cannabis use disorder	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Celiac.Dubois2010	zenodo_indep107	Celiac disease	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Chronic_Obstructive_Pulmonary_Disease.Consentino2023	zenodo_indep107	COPD	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Cigarettes_Per_Day.Liu2019	zenodo_indep107	Cigarettes per day	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Coronary_Artery_Disease.Aragam2022	zenodo_indep107	Coronary artery disease Aragam	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Covid19_Infection.hg_v7	zenodo_indep107	Covid 19 infection	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Covid19_Vaccination.Hartonen2023	zenodo_indep107	Covid 19 vaccination	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Daytime_Napping.Dashti2021	zenodo_indep107	Daytime napping	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Depression.Howard2019	zenodo_indep107	Depression	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Drinks_Per_Week.Liu2019	zenodo_indep107	Drinks per week	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Education_Years.Rietveld2013	zenodo_indep107	Education years	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Endometriosis.Rahmioglu2023	zenodo_indep107	Endometriosis	https://doi.org/10.5281/zenodo.10515792	European	Life history/reproduction	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Eosinophil_Percentage.Vuckovic2020	zenodo_indep107	Eosinophil percentage	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Ever_Smoked.TAGC2010	zenodo_indep107	Ever smoked	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Fetal_Birth_Weight.Warrington2019	zenodo_indep107	Fetal birth weight	https://doi.org/10.5281/zenodo.10515792	European	Life history/reproduction	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Forced_Vital_Capacity.Shrine2023	zenodo_indep107	COPD FVC	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Gastrointestinal_Disease.Donertas2021	zenodo_indep107	Gastrointestinal disease	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.General_Risk_Tolerance.KarlssonLinner2019	zenodo_indep107	General risk tolerance	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Genetic_Generalized_Epilepsy.Berkovic2022	zenodo_indep107	Genetic generalized epilepsy	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Glaucoma.Craig2020	zenodo_indep107	Glaucoma	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Gout.Donertas2021	zenodo_indep107	Gout	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.HDL.Teslovich2010	zenodo_indep107	HDL	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Heart_Failure.Shah2020	zenodo_indep107	Heart failure	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Height.Yengo2022	zenodo_indep107	Height	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Inflammatory_Bowel_Disease.deLange2017	zenodo_indep107	Inflammatory bowel disease	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Insomnia.Watanabe2022	zenodo_indep107	Insomnia	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Intelligence.SavageJansen2018	zenodo_indep107	Intelligence	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Ischemic_Stroke.Malik2018	zenodo_indep107	Stroke	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Knee_Osteoarthritis.Boer2021	zenodo_indep107	Knee osteoarthritis	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.LDL.Teslovich2010	zenodo_indep107	LDL	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Lupus.Bentham2015	zenodo_indep107	Lupus SLE	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Maternal_Birth_Weight.Warrington2019	zenodo_indep107	Maternal birth weight	https://doi.org/10.5281/zenodo.10515792	European	Life history/reproduction	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Medication_Use.Wu2019	zenodo_indep107	Medication use drugs used in diabetes	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Monocyte_Percentage.Vuckovic2020	zenodo_indep107	Monocyte percentage	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Multiple_Sclerosis.IMSGC2019	manual_or_unsupported	Multiple sclerosis	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	Readme says this file is not in sumstats_indep107.tgz and requires external approval; not selected by default.
GCST001198	gwas_catalog	Multiple sclerosis	https://doi.org/10.1038/nature10251	European	Blood/immune/inflammatory	26621	Sawcer et al. 2011 PMID=21833088; public GWAS Catalog summary statistics; newer IMSGC2019 GCST009597 has no public full summary statistics.
PASS.Parkinson.Nalls2019	zenodo_indep107	Parkinson disease	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Physical_Activity.Wang2022	zenodo_indep107	Physical activity	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Platelet_Distribution_Width.Vuckovic2020	zenodo_indep107	Platelet distribution width	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Primary_Biliary_Cirrhosis.Cordell2015	zenodo_indep107	Primary biliary cirrhosis	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Reaction_Time.Davies2018	zenodo_indep107	Reaction time	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Reticulocyte_Count.Vuckovic2020	zenodo_indep107	Reticulocyte count	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Rheumatoid_Arthritis.Ishigaki2022	zenodo_indep107	Rheumatoid arthritis Ishigaki	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Rheumatoid_Arthritis.Saevarsdottir2022	zenodo_indep107	Rheumatoid arthritis Saevarsdottir	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Schizophrenia.Trubetskoy2022	zenodo_indep107	Schizophrenia	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Sleep_Duration.Dashti2019	zenodo_indep107	Sleep duration	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Snoring.Campos2020	zenodo_indep107	Snoring	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Structural_Connectivity_Global.Tissink2023	zenodo_indep107	Structural connectivity global imaging	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Telomere_Length.Codd2021	zenodo_indep107	Telomere length	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Thumb_Osteoarthritis.Boer2021	zenodo_indep107	Thumb osteoarthritis	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Total_Hip_Replacement.Boer2021	zenodo_indep107	Total hip replacement	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Tourette_Syndrome.Yu2019	zenodo_indep107	Tourette syndrome	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Type_1_Diabetes.Chiou2021	zenodo_indep107	Type 1 diabetes	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Type_2_Diabetes.Xue2018	zenodo_indep107	Type 2 diabetes	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Varicose_Veins.Ahmed2022	zenodo_indep107	Varicose veins	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Venous_Thromboembolism.Ghouse2023	zenodo_indep107	Venous thromboembolism VTE	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Visceral_Adipose_Tissue_Volume.Agrawal2022	zenodo_indep107	Visceral adipose tissue volume	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_AlkalinePhosphatase	zenodo_indep107	Alkaline phosphatase	https://doi.org/10.5281/zenodo.10515792	European	Biomarkers	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_AspartateAminotransferase	zenodo_indep107	Aspartate aminotransferase	https://doi.org/10.5281/zenodo.10515792	European	Biomarkers	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_Cholesterol	zenodo_indep107	Cholesterol	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_Creatinine	zenodo_indep107	Creatinine	https://doi.org/10.5281/zenodo.10515792	European	Biomarkers	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_IGF1	zenodo_indep107	IGF1	https://doi.org/10.5281/zenodo.10515792	European	Biomarkers	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_Phosphate	zenodo_indep107	Phosphate	https://doi.org/10.5281/zenodo.10515792	European	Biomarkers	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_Testosterone_Male	zenodo_indep107	Testosterone male	https://doi.org/10.5281/zenodo.10515792	European	Biomarkers	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_TotalBilirubin	zenodo_indep107	Total bilirubin	https://doi.org/10.5281/zenodo.10515792	European	Biomarkers	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_TotalProtein	zenodo_indep107	Total protein	https://doi.org/10.5281/zenodo.10515792	European	Biomarkers	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.biochemistry_VitaminD	zenodo_indep107	Vitamin D	https://doi.org/10.5281/zenodo.10515792	European	Biomarkers	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.blood_RBC_DISTRIB_WIDTH	zenodo_indep107	RBC distribution width	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.blood_RED_COUNT	zenodo_indep107	RBC count	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.blood_WHITE_COUNT	zenodo_indep107	WBC count	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.bmd_HEEL_TSCOREz	zenodo_indep107	Heel T-score	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.body_BALDING1	zenodo_indep107	Balding	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.body_WHRadjBMIz	zenodo_indep107	WHR BMI ratio	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.bp_DIASTOLICadjMEDz	zenodo_indep107	Diastolic blood pressure	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.cancer_PROSTATE	zenodo_indep107	Prostate cancer	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.disease_HYPOTHYROIDISM_SELF_REP	zenodo_indep107	Hypothyroidism self reported	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.other_MORNINGPERSON	zenodo_indep107	Morning person	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.pigment_SUNBURN	zenodo_indep107	Sunburn	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.repro_MENARCHE_AGE	zenodo_indep107	Menarche age	https://doi.org/10.5281/zenodo.10515792	European	Life history/reproduction	NA	S-LDSC reference file in sumstats_indep107.tgz.
UKB_460K.repro_NumberChildrenEverBorn_Pooled	zenodo_indep107	Number children ever born	https://doi.org/10.5281/zenodo.10515792	European	Life history/reproduction	NA	S-LDSC reference file in sumstats_indep107.tgz.
agreeableness_gupta_2024	direct_url	Agreeableness	https://hugesumstats.yale.edu/dl/agree_MVP_GPC1_sumstat_file	European	Behavioral	235374	genome_build=GRCh37; Levey Lab public EUR meta-analysis.
conscientiousness_gupta_2024	direct_url	Conscientiousness	https://hugesumstats.yale.edu/dl/consc_MVP_GPC1_sumstat_file	European	Behavioral	235374	genome_build=GRCh37; Levey Lab public EUR meta-analysis.
extraversion_gupta_2024	direct_url	Extraversion	https://hugesumstats.yale.edu/dl/extra_MVP_GPC1_sumstat_file	European	Behavioral	235374	genome_build=GRCh37; Levey Lab public EUR meta-analysis.
openness_gupta_2024	direct_url	Openness	https://hugesumstats.yale.edu/dl/open_MVP_GPC1_sumstat_file	European	Behavioral	235374	genome_build=GRCh37; Levey Lab public EUR meta-analysis.
neuroticism_gupta_2024	direct_url	Neuroticism	https://hugesumstats.yale.edu/dl/Neuro_MVP_UKB_sumstat_file	European	Behavioral	390278	genome_build=GRCh37; Levey Lab public EUR meta-analysis.
cannabis_use_disorder_levey_2023	direct_url	Cannabis use disorder	https://hugesumstats.yalespace.org/dl/dbGAP_EUR_CanMVP_META.gz	European	Behavioral/Psychiatric	886025	genome_build=GRCh37; Levey et al. 2023 Nature Genetics EUR CanUD meta-analysis; cases=42281; controls=843744; source=Levey Lab public data.
ssri_antidepressant_use_levey_2025	direct_url	SSRI antidepressant use	https://hugesumstats.yalespace.org/dl/EUR_SSRI_MVPxUKB1meta.gz	European	Behavioral/Psychiatric	777952	genome_build=GRCh37; Levey et al. 2025 HGG Advances EUR MVPxUKB meta-analysis; cases=191800; controls=586152; source=Levey Lab public data.
PGC.adhd2022	figshare_file	ADHD	https://doi.org/10.6084/m9.figshare.22564390	European	ADHD	NA	pgc_publication=adhd2022; journal=Nature Genetics; PMID=36702997; data_doi=10.6084/m9.figshare.22564390; genome_build=GRCh37; file_name=ADHD2022_iPSYCH_deCODE_PGC.meta.gz; download_url=https://ndownloader.figshare.com/files/40036684
PGC.panic2019	figshare_file	Panic disorder	https://doi.org/10.6084/m9.figshare.16602218	European	ANX	NA	pgc_publication=panic2019; journal=Mol Psych; PMID=31712720; data_doi=10.6084/m9.figshare.16602218; genome_build=GRCh37; file_name=pgc-panic2019.vcf.tsv.gz; download_url=https://ndownloader.figshare.com/files/30731276
PGC.anx2026_GADsymptsQuant	figshare_file	Anxiety disorders (Quantitative)	https://doi.org/10.6084/m9.figshare.31631515	European	ANX	NA	pgc_publication=anx2026_GADsymptsQuant; journal=Nature Human Behavior; PMID=Pending; data_doi=10.6084/m9.figshare.31631515; genome_build=GRCh37; file_name=pgc-anx2-gadsymptsquant-2026_eur.txt.gz; download_url=https://ndownloader.figshare.com/files/62613733
PGC.anx2026	figshare_file	Anxiety disorders (Case-Control)	https://doi.org/10.6084/m9.figshare.31389910	European	ANX	NA	pgc_publication=anx2026; journal=Nature Genetics; PMID=41634414; data_doi=10.6084/m9.figshare.31389910; genome_build=GRCh37; file_name=ANX_2026_daner_fullANX_v12_woUTAH_11022026.gz; download_url=https://ndownloader.figshare.com/files/62089324
PGC.anx2016	figshare_file	Anxiety disorders & factors case-control	https://doi.org/10.6084/m9.figshare.14842689	European	ANX	NA	pgc_publication=anx2016; journal=Mol Psych; PMID=26754954; data_doi=10.6084/m9.figshare.14842689; genome_build=GRCh37; file_name=anxiety.meta.full.cc.tbl.gz; download_url=https://ndownloader.figshare.com/files/28570812
PGC.anx2016_factor_score	figshare_file	Anxiety disorders & factors factor-score	https://doi.org/10.6084/m9.figshare.14842689	European	ANX	NA	pgc_publication=anx2016; journal=Mol Psych; PMID=26754954; data_doi=10.6084/m9.figshare.14842689; genome_build=GRCh37; file_name=anxiety.meta.full.fs.tbl.gz; download_url=https://ndownloader.figshare.com/files/28570815
PGC.asd2019	figshare_file	Autism spectrum disorder	https://doi.org/10.6084/m9.figshare.14671989	European	ASD	46350	pgc_publication=asd2019; journal=Nature Genetics; PMID=30804558; data_doi=10.6084/m9.figshare.14671989; genome_build=GRCh37; file_name=iPSYCH-PGC_ASD_Nov2017.gz; download_url=https://ndownloader.figshare.com/files/28169292
PGC.bip2024	figshare_file	Bipolar disorder	https://doi.org/10.6084/m9.figshare.27216117	European	BIP	NA	pgc_publication=bip2024; journal=Nature; PMID=39843750; data_doi=10.6084/m9.figshare.27216117; genome_build=GRCh37; file_name=bip2024_eur_noUKB_no23andMe.gz; download_url=https://ndownloader.figshare.com/files/49760787
pfactor_grotzinger_2025	figshare_file	Cross-disorder p-factor	https://doi.org/10.6084/m9.figshare.30359017	European	CDG	2168621	pgc_publication=cdg2025; journal=Nature; PMID=Pending; data_doi=10.6084/m9.figshare.30359017; genome_build=GRCh37; cdg2025_factor_file=PFactor_2025.tsv.gz; file_name=PFactor_2025.tsv.gz; download_url=https://ndownloader.figshare.com/files/58731898; sample_size_source=Grotzinger2025_Nature_implied_factor_sample_size
compulsive_disorders_grotzinger_2025	figshare_file	Cross-disorder compulsive disorders factor	https://doi.org/10.6084/m9.figshare.30359017	European	CDG	54100	pgc_publication=cdg2025; journal=Nature; PMID=Pending; data_doi=10.6084/m9.figshare.30359017; genome_build=GRCh37; cdg2025_factor_file=F1_CompulsiveDisorders_2025.tsv.gz; file_name=F1_CompulsiveDisorders_2025.tsv.gz; download_url=https://ndownloader.figshare.com/files/58731913; sample_size_source=Grotzinger2025_Nature_implied_factor_sample_size
schizophrenia_bipolar_grotzinger_2025	figshare_file	Cross-disorder schizophrenia-bipolar factor	https://doi.org/10.6084/m9.figshare.30359017	European	CDG	127202	pgc_publication=cdg2025; journal=Nature; PMID=Pending; data_doi=10.6084/m9.figshare.30359017; genome_build=GRCh37; cdg2025_factor_file=F2_SchizophreniaBipolar_2025.tsv.gz; file_name=F2_SchizophreniaBipolar_2025.tsv.gz; download_url=https://ndownloader.figshare.com/files/58731907; sample_size_source=Grotzinger2025_Nature_implied_factor_sample_size
